product_id,size,sku,priceRetail,priceWholesale,stock,status
ossono-coloracion-60gr,1,OSS-OSSONO-COLORACION-60GR-1,,,,active
ossono-coloracion-60gr,3,OSS-OSSONO-COLORACION-60GR-3,,,,active
ossono-coloracion-60gr,4,OSS-OSSONO-COLORACION-60GR-4,,,,active
ossono-coloracion-60gr,5,OSS-OSSONO-COLORACION-60GR-5,,,,active
ossono-coloracion-60gr,6,OSS-OSSONO-COLORACION-60GR-6,,,,active
ossono-coloracion-60gr,7,OSS-OSSONO-COLORACION-60GR-7,,,,active
ossono-coloracion-60gr,8,OSS-OSSONO-COLORACION-60GR-8,,,,active
ossono-coloracion-60gr,9,OSS-OSSONO-COLORACION-60GR-9,,,,active
ossono-coloracion-60gr,10,OSS-OSSONO-COLORACION-60GR-10,,,,active
ossono-coloracion-60gr,6nc,OSS-OSSONO-COLORACION-60GR-6NC,,,,active
ossono-coloracion-60gr,7nc,OSS-OSSONO-COLORACION-60GR-7NC,,,,active
ossono-coloracion-60gr,8nc,OSS-OSSONO-COLORACION-60GR-8NC,,,,active
ossono-coloracion-60gr,9nc,OSS-OSSONO-COLORACION-60GR-9NC,,,,active
ossono-coloracion-60gr,6.1,OSS-OSSONO-COLORACION-60GR-6-1,,,,active
ossono-coloracion-60gr,7.1,OSS-OSSONO-COLORACION-60GR-7-1,,,,active
ossono-coloracion-60gr,8.1,OSS-OSSONO-COLORACION-60GR-8-1,,,,active
ossono-coloracion-60gr,9.1,OSS-OSSONO-COLORACION-60GR-9-1,,,,active
ossono-coloracion-60gr,10.1,OSS-OSSONO-COLORACION-60GR-10-1,,,,active
ossono-coloracion-60gr,6.11,OSS-OSSONO-COLORACION-60GR-6-11,,,,active
ossono-coloracion-60gr,7.11,OSS-OSSONO-COLORACION-60GR-7-11,,,,active
ossono-coloracion-60gr,8.11,OSS-OSSONO-COLORACION-60GR-8-11,,,,active
ossono-coloracion-60gr,8.12,OSS-OSSONO-COLORACION-60GR-8-12,,,,active
ossono-coloracion-60gr,9.21,OSS-OSSONO-COLORACION-60GR-9-21,,,,active
ossono-coloracion-60gr,9.2,OSS-OSSONO-COLORACION-60GR-9-2,,,,active
ossono-coloracion-60gr,10.21,OSS-OSSONO-COLORACION-60GR-10-21,,,,active
ossono-coloracion-60gr,5.3,OSS-OSSONO-COLORACION-60GR-5-3,,,,active
ossono-coloracion-60gr,6.3,OSS-OSSONO-COLORACION-60GR-6-3,,,,active
ossono-coloracion-60gr,7.3,OSS-OSSONO-COLORACION-60GR-7-3,,,,active
ossono-coloracion-60gr,8.3,OSS-OSSONO-COLORACION-60GR-8-3,,,,active
ossono-coloracion-60gr,9.3,OSS-OSSONO-COLORACION-60GR-9-3,,,,active
ossono-coloracion-60gr,6.34,OSS-OSSONO-COLORACION-60GR-6-34,,,,active
ossono-coloracion-60gr,8.34,OSS-OSSONO-COLORACION-60GR-8-34,,,,active
ossono-coloracion-60gr,7.32,OSS-OSSONO-COLORACION-60GR-7-32,,,,active
ossono-coloracion-60gr,8.32,OSS-OSSONO-COLORACION-60GR-8-32,,,,active
ossono-coloracion-60gr,8.30,OSS-OSSONO-COLORACION-60GR-8-30,,,,active
ossono-coloracion-60gr,7.31,OSS-OSSONO-COLORACION-60GR-7-31,,,,active
ossono-coloracion-60gr,8.13,OSS-OSSONO-COLORACION-60GR-8-13,,,,active
ossono-coloracion-60gr,9.13,OSS-OSSONO-COLORACION-60GR-9-13,,,,active
